"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename","trs_sos25_mean.x","trs_sos25_mean.y","trs_sos50_mean"
"260",111,131,153,163,226,272,319,123,131,141,215,241,272,291,0.516080240907344,0.171369809665637,0.344710431241707,0.338525789676071,0.00842226080820739,-0.00362485919678192,0.00742945077818041,-0.00179993720090938,2017,"PQG",123,123,133
"261",100,125,151,196,211,258,305,115,125,140,210,228,258,280,0.536394381372839,0.171672392922495,0.362942804580427,0.364721988450343,0.00716735966248499,-0.0038366080478341,0.00291130250464565,-0.0030808655823622,2018,"PQG",123,123,133
"262",103,127,152,198,239,272,305,116,127,139,229,249,272,287,0.503327064701034,0.159356638756093,0.343970425944941,0.316327087403519,0.0071900858725863,-0.00471468985199089,0.00305058654549432,-0.00254551933191309,2019,"PQG",123,123,133
"263",107,130,152,186,239,271,302,121,130,141,223,249,271,286,0.476835397416217,0.183497702008418,0.291822736011455,0.293337695407799,0.00662286412653777,-0.00456699410130216,0.00368022201625813,-0.00198793902109665,2020,"PQG",123,123,133
"264",110,133,156,172,225,271,317,124,133,144,213,237,271,293,0.534955758442342,0.179812917768665,0.355142840673677,0.351089288734221,0.0079809506809631,-0.00380148680215675,0.00631365956778307,-0.00209241362960613,2021,"PQG",123,123,133
"265",120,152,184,210,225,266,307,139,152,172,228,243,266,285,0.377795878842161,0.105224441082277,0.272571437759884,0.272198766188285,0.00433280199187267,-0.00328043786625721,0.00303269533819858,-0.00285494066268209,2000,"LYS",126,126,141
"266",100,145,190,212,225,265,305,131,145,182,231,244,265,284,0.345327031028681,0.101874565084494,0.236048998364444,0.243452465944187,0.00267256695736349,-0.00300634954208435,0.00214443141126792,-0.00290410255497498,2001,"LYS",126,126,141
"267",112,150,187,210,223,261,300,136,150,179,226,241,261,282,0.405498145939167,0.100428060422905,0.305070085516262,0.301752131662504,0.00410648210891724,-0.00385591430603461,0.00274016260902577,-0.00337806883528581,2002,"LYS",126,126,141
"268",111,140,170,206,231,269,308,128,140,156,226,244,269,287,0.380233387466355,0.0989698989922567,0.281263488474098,0.273235866213716,0.00487539196966117,-0.00349540836989391,0.00277334299586122,-0.00244592406547424,2003,"LYS",126,126,141
"269",104,138,172,219,228,264,299,124,138,162,233,245,264,282,0.371029481408898,0.106685890870339,0.264343590538559,0.263318814393838,0.00393746945316913,-0.00363393915708576,0.00172822147489643,-0.00342030451827791,2004,"LYS",126,126,141
"270",111,138,165,193,233,270,307,127,138,153,233,251,270,290,0.355552782989166,0.104010575033115,0.251146488991038,0.251542207956052,0.00477234522716132,-0.0033405272402635,0.00299056167661349,-0.00204782356375537,2005,"LYS",126,126,141
"271",109,145,180,206,222,261,300,130,145,174,221,237,261,278,0.406092322768896,0.10272113415407,0.303371188614826,0.293502334245134,0.00433177173433855,-0.00375415847153338,0.0027092362725313,-0.00296524105958963,2006,"LYS",126,126,141
"272",105,140,174,205,227,269,311,124,140,160,226,240,269,287,0.387505356084214,0.101123535236823,0.286381820847391,0.279855118261217,0.0042249367037682,-0.0032945685970799,0.0025417517689925,-0.00259125289595829,2007,"LYS",126,126,141
